year,region,count,percentage
2014,merger,41,89.13043478260869
2014,non_geo,5,10.869565217391305
2015,merger,1105,99.01433691756273
2015,non_geo,10,0.8960573476702508
2015,territorial_transfers,1,0.08960573476702509
2016,merger,992,97.54178957718781
2016,non_geo,21,2.0648967551622417
2016,split,3,0.2949852507374631
2016,territorial_transfers,1,0.09832841691248771
2017,merger,324,83.93782383419689
2017,non_geo,59,15.284974093264248
2017,split,3,0.7772020725388601
2018,merger,669,97.66423357664233
2018,non_geo,12,1.7518248175182483
2018,territorial_transfers,4,0.583941605839416
2019,merger,245,92.45283018867924
2019,non_geo,11,4.150943396226415
2019,split,1,0.37735849056603776
2019,territorial_transfers,8,3.018867924528302
2020,merger,8,17.391304347826086
2020,non_geo,26,56.52173913043478
2020,split,2,4.3478260869565215
2020,territoral_transfers,4,8.695652173913043
2020,territorial_transfers,6,13.043478260869565
2021,merger,21,41.17647058823529
2021,non_geo,26,50.98039215686274
2021,territoral_transfers,2,3.9215686274509802
2021,territorial_transfers,2,3.9215686274509802
2022,merger,27,52.94117647058824
2022,non_geo,24,47.05882352941176
2023,de_merger,2,0.6600660066006601
2023,merger,52,17.16171617161716
2023,non_geo,242,79.86798679867987
2023,split,3,0.9900990099009901
2023,territorial_transfers,4,1.3201320132013201
2024,de_merger,5,15.625
2024,merger,15,46.875
2024,non_geo,8,25
2024,territorial_transfers,4,12.5
